Offer,Description,Coupon Code,Eligible Credit Cards,Eligible Debit Cards,Net Banking,UPI,Non-Payments-Offers
Flat Rs. 100 OFF using RBL Bank Credit Cards,Applicable only on transactions using any RBL Bank Credit Cards; Total value of items must be Rs. 999 or more; Offer can be availed once during the offer period (Jan 01 Rs. Jan 31); Discount not applicable on Gold & Silver coins Gift Cards Milk Tobacco Cigarettes and Baby needs products; Other T&Cs may apply,RBL100,RBL Bank Bankbazaar Savemax Pro Credit Card,,,,
Flat Rs. 100 OFF using RBL Bank Credit Cards,Applicable only on transactions using any RBL Bank Credit Cards; Total value of items must be Rs. 999 or more; Offer can be availed once during the offer period (Jan 01 Rs. Jan 31); Discount not applicable on Gold & Silver coins Gift Cards Milk Tobacco Cigarettes and Baby needs products; Other T&Cs may apply,RBL100,RBL Bank Bankbazaar Savemax Credit Card,,,,
Flat Rs. 100 OFF using RBL Bank Credit Cards,Applicable only on transactions using any RBL Bank Credit Cards; Total value of items must be Rs. 999 or more; Offer can be availed once during the offer period (Jan 01 Rs. Jan 31); Discount not applicable on Gold & Silver coins Gift Cards Milk Tobacco Cigarettes and Baby needs products; Other T&Cs may apply,RBL100,RBL Bank iGlobe Credit Card,,,,
Flat Rs. 100 OFF using RBL Bank Credit Cards,Applicable only on transactions using any RBL Bank Credit Cards; Total value of items must be Rs. 999 or more; Offer can be availed once during the offer period (Jan 01 Rs. Jan 31); Discount not applicable on Gold & Silver coins Gift Cards Milk Tobacco Cigarettes and Baby needs products; Other T&Cs may apply,RBL100,RBL Bank Insignia Preferred Banking Card,,,,
Flat Rs. 100 OFF using RBL Bank Credit Cards,Applicable only on transactions using any RBL Bank Credit Cards; Total value of items must be Rs. 999 or more; Offer can be availed once during the offer period (Jan 01 Rs. Jan 31); Discount not applicable on Gold & Silver coins Gift Cards Milk Tobacco Cigarettes and Baby needs products; Other T&Cs may apply,RBL100,RBL Bank Play Credit Card,,,,
Flat Rs. 100 OFF using RBL Bank Credit Cards,Applicable only on transactions using any RBL Bank Credit Cards; Total value of items must be Rs. 999 or more; Offer can be availed once during the offer period (Jan 01 Rs. Jan 31); Discount not applicable on Gold & Silver coins Gift Cards Milk Tobacco Cigarettes and Baby needs products; Other T&Cs may apply,RBL100,RBL Bank World Safari Credit Card,,,,
Flat Rs. 100 OFF using RBL Bank Credit Cards,Applicable only on transactions using any RBL Bank Credit Cards; Total value of items must be Rs. 999 or more; Offer can be availed once during the offer period (Jan 01 Rs. Jan 31); Discount not applicable on Gold & Silver coins Gift Cards Milk Tobacco Cigarettes and Baby needs products; Other T&Cs may apply,RBL100,RBL Bank Platinum Delight Credit Card,,,,
Flat Rs. 100 OFF using RBL Bank Credit Cards,Applicable only on transactions using any RBL Bank Credit Cards; Total value of items must be Rs. 999 or more; Offer can be availed once during the offer period (Jan 01 Rs. Jan 31); Discount not applicable on Gold & Silver coins Gift Cards Milk Tobacco Cigarettes and Baby needs products; Other T&Cs may apply,RBL100,RBL Bank Monthly Treats Credit Card,,,,
Flat Rs. 100 OFF using RBL Bank Credit Cards,Applicable only on transactions using any RBL Bank Credit Cards; Total value of items must be Rs. 999 or more; Offer can be availed once during the offer period (Jan 01 Rs. Jan 31); Discount not applicable on Gold & Silver coins Gift Cards Milk Tobacco Cigarettes and Baby needs products; Other T&Cs may apply,RBL100,RBL Bank Lazy Pay Credit Card,,,,
Flat Rs. 100 OFF using RBL Bank Credit Cards,Applicable only on transactions using any RBL Bank Credit Cards; Total value of items must be Rs. 999 or more; Offer can be availed once during the offer period (Jan 01 Rs. Jan 31); Discount not applicable on Gold & Silver coins Gift Cards Milk Tobacco Cigarettes and Baby needs products; Other T&Cs may apply,RBL100,RBL Bank Icon Credit Card,,,,
