Offer,Terms and Conditions,Link,Eligible Credit Cards,Eligible Debit Cards,Net Banking,UPI,Non-Payments-Offers
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,Tata Neu Plus HDFC Bank RuPay Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,HDFC Swiggy Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,Flipkart Wholesale HDFC Bank Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,HDFC Bank Freedom Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,HDFC Bharat Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,HDFC Biz Black Metal Edition Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,PhonePe HDFC Bank Uno Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,IndianOil HDFC Bank RuPay Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,Indianoil HDFC Bank Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,HDFC Regalia Gold Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,HDFC H.O.G. Diners Club Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,HDFC Diners Club Black Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,Paytm HDFC Bank Business Credit Card,,,,
