Offer,Description,Image,Link,Eligible Credit Cards,Eligible Debit Cards,Net Banking,UPI,Non-Payments-Offers
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,TVS Credit RBL Bank Card (RuPay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,TVS Credit RBL Bank Gold Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,UCO Bank SBI Card Elite (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,UCO Bank SimplySAVE SBI Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,UNI Carbon Credit Card. (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Union Bank of India Rupay Select Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Union Bank Rupay Platinum Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Yatra SBI Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Yes Bank Anq Pi Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Yes Bank Card Anq Phi Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,YES Bank Paisabazaar Paisasave Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,YES Bank Rio Rupay Credit Card (Rupay),,,Cred UPI,
Axis,"7.5% Instant Discount On Flipkart Axis Bank Credit Card on min spend of Rs. 2,500",,,Flipkart Axis Bank Credit Card,,,,
Flipkart,"7.5% Instant Discount On Flipkart SBI Credit Card on min spend of Rs. 2,500",,,Flipkart SBI Credit Card,,,,
IDFC SWYP,10% Instant Discount On IDFC FIRST SWYP Credit Card on min spend of Rs. 850. T&C (Applicable only on selected Products),,,IDFC Firrst SWYP Credit Card,,,,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,6E Rewards XL IndiGo HDFC Bank Credit Card (RuPay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Airtel Axis Bank Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Apollo SBI Card Select (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Assam Rifles The Sentinel Bobcard (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,AU Bank Instapay Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Axis Bank Neo Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Axis KWIK Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Bank of India Rupay Platinum Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Bank of India SwaDhan Rupay Platinum Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,BPCL SBI Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Canara Bank Rupay Classic Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Canara Bank Rupay Platinum Credit Card (Rupay),,,PhonePe UPI,
